Tweets,"Is_Conspiracy (0=No, 1=Yes)"
Coronavirus updates: The latest news on the outbreak and the global response SURVIVE SEE DETAILS AT ==&gt; https://t.co/QvEZfTKWkq #virus #coronavirus #sars #flu #deathtoll #CHINA https://t.co/8YEiRxieJJ,0
Don't just like or view. Retweet. If we don't retweet we can't get the messages out. Whether you like or not retweet. Others know they can research this for themselves but they don't research what they can't see. Retweet. https://t.co/7fcDR8HipL,0
"Tonight's Chinese order...

Prawn crackers
Salt &amp; pepper ribs
Duck with mushrooms
Boiled rice
Bat on a stick.

#coronavirus",0
@howroute Check this one out. The CCP even lied about the doctors death. How can we believe anything they acrually say? https://t.co/rtzHsEaqEy,0
"His country kills him,not the Coronavirus. Shame on all of the China governments. https://t.co/KOKRpMX5RO",1
South Africa: JUST IN | Two suspected #coronavirus cases reported in KZN – health department https://t.co/FWSJeVcuNB By News24  #CoronavirusOutbreak #SouthAfrica,0
I wanted to say something regarding the hysteria over #coronavirus https://t.co/2P3VgzpXGn,0
#BREAKING: #Wisconsin Respiratory Disease Epidemiologist Tom Haupt says #influenza is a bigger threat to residents of #Wisconsin than #CoronaVirus. #WKOW https://t.co/x0BatdzbKD,0
"this Doctor was an absolute hero. He was condemed by the Wuhan politicians and police. They threatened him with jail time and public humiliation. Chairman Xi should come down hard on the local Wuhan government and police. IMHO
#china #coronavirus

https://t.co/nv7ZssTY9j",1
"To be honest, fears of the #coronavirus are heavily overblown. 60,000+ people die annually from the flu in the US, and this ain’t much different.",0
"Feb 6 2020: ""Coronavirus turns bustling Beijing into a ghost town"" via @dwnews

 #CoronaVirus #Wuhan #Beijing

https://t.co/f7OuNKNSIM",1
Jesus. https://t.co/FGNzAzTKbe,0
This couple live streamed their wedding to a venue of their friends and family... because of #coronavirus. https://t.co/1s97zIb2Us,0
"Alert PLEASE WATCH! Most compact FACTS of #CORONAVIRUS
#nCoV2019 DEC2019 1ST KNOWN PATIENT! LIE OF JAN 23RD! MUTATION! HIV meds Trial to patients! 6 in Same household w DIFFERENT RNA strand! 6.2 Rate of Spread! 2-14 Airbourne Contagion w/o symptoms!
https://t.co/MIVI75iWQP",0
"6 weeks ago, China was handling #coronavirus much the same everyone else is now.

Let that sink in.

https://t.co/p49ksTOkaI",0
"How experts plan to treat the new coronavirus

#coronavirus 

https://t.co/2z9Z6EhKYD",
OBVIOUSLY THIS IS NOT THE YOUNG AND ELDERLY BEING EFFECTED IS IT https://t.co/YpfAvXzUsb,0
"I'm not a pathologist, but one thing I do know is that a biological weapon can never be contained to one area as easily as the creators tell us they can. This #CoronaVirus is nothing new on the radar of the @CDC it was a ""thing"" back in August of 2019!",1
This looks like Resident Evil. 😬 https://t.co/F03IB2k58k,0
"#Opinion: In putting the most vulnerable patients, such as newborns and cancer patients, at risk at a critical time, those politicizing their duty of care in this way are demonstrating the darkest side of humanity. #coronavirus #HongKong #ENDEGO",0
"Don't worry, everyone will be back to work on Monday! LOL. Central Banks &gt; Black Swans. #coronavirus https://t.co/VFp57viAMS",0
"Qiushi Chen, citizen reporter from #Wuhan, is now missing according to his mother after reporting on #coronavirus and the CCP's iron fist of censorship.

https://t.co/kPcK6AFYNn

@lookner @BNODesk",0
"""Transparency is essential to public health. But in China, doctors who reported the reality of the outbreak have been arrested for “spreading rumors.”"" https://t.co/2WPezYvyxg",1
"#LiWenliang, only 34, was declared dead at 2.58am on Friday after “emergency treatment” at a hospital in #Wuhan, the #GlobalTimes reported following hours of confusion over the ill doctor’s fate #coronavirus https://t.co/jhSkSbQVMV",0
Coronavirus 2019-nCoV | Worry and discomfort for chinese censorship in coronavirus crisis management. There are many more deaths from coronavirus 2019-nCoV than announced by the Chinese government/https://t.co/ODH0SogH1g #coronavirus #nCoV @2019_wuhan_nCoV https://t.co/nkhsVMJK1e,1
What he said⤵️ https://t.co/WYiWeBZ3Po,0
"https://t.co/3eXPnMaFMB

 #Coronavirus spreading - 14 day incubation period....

@RealSamFaddis UPDATES: Russia closes border with China to stop spread. WHO declares virus a pandemic... https://t.co/eV5v3Ybiev",0
Barbaric behaviour coming from #China blocking those infected inside to die of the virus ravaging china and seeping into the world. #coronavirus #china #CoronavirusOutbreak @NCOVNEWS https://t.co/twKNrRpkDM,1
ST THOMAS’?!!!! Okay I’m getting a mask https://t.co/4tlq00tKS1,0
"Love over hate anytime of the day. 
Stop discrimination and racism, love and empathy is what we need in the world right now. 
#corononavirus #coronavirus #IAmNotAVirus #JeNeSuisPasUnVirus",0
"Among 1.4 billion ppl, there is a huge quantity of idiots.
加油 dude, he’s not ur neighbor. https://t.co/6UYl7tXMTT",0
"UPDATE: A hospital in China now confirms the doctor credited with warning about #coronavirus before being silenced, has now passed away despite their efforts to keep him alive. https://t.co/CQRxkDZ2eo",0
#WHO Stops Short Of Calling New #coronavirus A #pandemic https://t.co/VcoclfVOCQ via @newsy,0
"⚠ Hanghzou, capital city of Zhejiang has been placed into lockdown by chinese authorities due to #coronavirus https://t.co/igg0jNaxpX",0
This is starting to look like a bad Hollywood movie plot https://t.co/aOU49SBDpQ,
Real #Heroes https://t.co/RrXTeUDIhN,0
Fake news is everywhere. I was told by my colleague that I should stop eating food and buying groceries in Houston’s Chinatown due to the #coronavirus outbreak in China. This idea of thinking is so ignorant.,0
@cnnbrk Why would you @CNN make that kind of mistake? Sheesh. #coronavirus,0
"No known effective' treatments for #coronavirus despite reports, WHO says https://t.co/rU3STr5jOv",0
China’s Lavish Scientific Funds Fall Into Prosecutors’ Spotlight SEE DETAILS AT ==&gt; https://t.co/n8oWlcKo0x #virus #coronavirus #sars #flu #china https://t.co/VJdogRTRC7,0
What is amazing about the coronavirus is its ability to spread fear across the planet #coronavirus,0
Dow Eyes Record High as Dire Forecasts Fail to Dent U.S. Stock Market https://t.co/e2h36IO1eT #Coronavirus #DowJones https://t.co/K5MrsyiYXn,0
"💖8 Days To Vals Surprise That Special Someone Now💖

You can reach Us On 0205414305or WhatsApp 0555171905 
For The Best &amp; Coolest Deals Ever💓
#coronavirus Shatta Wale #twitterbars Bleeding Sarkodie Zidane Legon Highest #Borjor Asabone #TopSpeed #AllOut
https://t.co/BREddOJL1b",0
@RanaAyyub @Shehla_Rashid @FarOutAkhtar @Javedakhtarjadu @AzmiShabana @khushsundar @JhaSanjay @INCIndia @asadowaisi @BDUTT @khanumarfa @ndtv @Nidhi @ShekharGupta @_YogendraYadav @kunalkamra88 @ShashiTharoor coment pls @PMOIndia @HMOIndia @amitmalviya @KapilMishra_IND @ShefVaidya https://t.co/3jctylUOXN,0
South Korean university issues blockchain-stored diplomas amid the spread of the coronavirus – The Block https://t.co/xhIfNmz2HN #coronavirus #diploma #MIT #postech #SouthKorea https://t.co/SuGL72yP2g,0
"I would like an official redo of 2020
5 weeks in (and in no particular order)
#coronavirus 
#AustralianBushfire 
#KobyBryant passed away
#TrumpImpeachment 
The president of the USA assinated #QasemSoleimani 
Of course #megxit and that’s  without any of my personal issues 😂😅",0
This means there are thousands out there in the UK infected. This thing is a beast and it is mutating https://t.co/Z8dVKc1iK2,0
“A Crown We Do not Want”: a blog about #Coronavirus. https://t.co/vGSbHhETaQ https://t.co/X3IR4KmS9K,0
The #coronavirus is spreading. Will it infect your portfolio? Here's how the #StockMarket has reacted to past mass outbreaks. https://t.co/IiPzNwnZSE,0
"Coronavirus: Five things you need to know

#coronavirus

https://t.co/02pmUALXZ4",0
@SCMPNews Safety precautions to avoid the virus: https://t.co/O4mg0yGUW6 #corona #coronavirusupdate #coronavirus,0
"No known effective' treatments for #coronavirus despite reports, WHO says https://t.co/mubeXMsl5q",0
"Novel #coronavirus: China boosts medical supplies imports, cuts US tariffs https://t.co/psPplu5LRP  #Healthinnovations #pharma #health #stocks #legal via @MedicalTechMag",0
"Ok. But why are Africa and South America safe from this? Did you close your boarders early?
#coronavirus https://t.co/ylENzz7uN6",0
BREAKING NEWS: The latest #coronavirus case has been confirmed to have come from #Brighton. All the latest here: https://t.co/nbEEKQGWaP,0
#HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow https://t.co/YMxA7ovDHH,0
and yet people have the nerve to complain about Christmas island which is a 5 star resort compared to what people in China have to deal with. https://t.co/P7LQ16QO2T,0
#DrLiWenliang was truly a hero and a real #Whistleblower in the fight against China’s attempt to silence him and hide the deadly #coronanavirus from the world. RIP Dr Li. https://t.co/nVrdO4piF2,1
"What are they doing to people. No sense of humanity right now. This is what we are seeing, imagine the horrors we are not.
#coronavirus #whuan https://t.co/XmXFfwzI9E",1
strange https://t.co/A0Nfc4Lbdl,0
"Some #businesscontinuity examples of the impact of the #coronavirus on supply chains. 

https://t.co/0qrYlVXhT8",0
Don’t let this guy back into Uganda https://t.co/eJ3QhHgJ8S,0
#Coronavirus Kills Hero Whistleblower Doctor Li Wen Liang https://t.co/XLpBtQclli via @YouTube XR #ExtinctionRebellion #NTHE #WASF Detained &amp; interrogated for sounding the alarm.,1
"Patients recovered from the virus can infected again - according to this source
#coronavirus 
@BNODesk
https://t.co/LSj0auLkqx",0
"The real numbers . . . ""Tencent may have accidentally leaked real data... | Taiwan News https://t.co/higCTXHwkg #corononavirus #Coronaviruscoverup #CoronavirusOutbreak #WuhanCoronavius #WuhanVirus #HongKong https://t.co/KXgZ2yIm9h",1
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow 

https://t.co/C0cXBVjtyV",0
#Coronavirus: first British national confirmed with disease 'travelled back from Singapore' – latest news https://t.co/mtbtSvEJRl,1
"Coronavirus Concerns Cancel Big Shoe Trade Show

https://t.co/pCa9tjCeur

#Coronavirus #News #PortlandNews #Oregon #virus #healthnews #Wuhan #WuhanCoronavius #Trending #TrendingNews #PortlandNow #Thursdaynews https://t.co/uDgzkxBAtY",0
lololol it's like black friday for tp https://t.co/g6qqQDNE2N,0
Activated breathing control during breast cancer treatment | #Health | #coronavirus | #AsianNetWalking https://t.co/L8XjOUviOL https://t.co/c2W8NLcd0R,0
Sadly true... #Coronavirus #LassaFever https://t.co/YGrprFH5jd,0
This Publicis Media China deck is making the rounds on WeChat groups on the impact of the #CoronaVirus on the Chinese economy - I thought I'd highlight 4 slides here...pretty obvious but interesting to see nonetheless... https://t.co/mZV1gt0D2o,0
Just thought that when the love islander people get out not only have they missed 'brexit day' but there might be a global actual pandemic #coronavirus by then. What if they are the last people surviving 😯 🙃 #loveisland #quarantinedinparadise #28dayslater,0
How are robots contributing to the fight against novel #coronavirus? https://t.co/IiSVyYSQae #Healthinnovations #pharma #health #stocks #legal via @MedicalTechMag,0
"Coronavirus symptoms: THESE people are less susceptible - Scientists stunned by discovery

#coronavirus

https://t.co/2xVyy4GSe9",0
"#CoronaVirus While ""Total Deaths Projected"" is a constantly changing number, the intent is to say: ""based on the trends we know right now, the worst-case scenario appears to be ..."" xxx total deaths. If the current death rate changes up or down, the estimate changes with it. https://t.co/1cvr5wLnLX",0
"May this courageous man rest in peace 🙏
#coronavirus
#whistleblowers
#Wuhan https://t.co/y7LoRN7eRd",0
"China with a population of about 1.4 billion (more than total population of Africa) is doing everything to prevent one more death from #coronavirus. They've built capacity hospitals in days without foundation laying ceremony, commissioning ceremony, long speeches and cameras.",0
#Coronavirus: Chinese media confusion over doctor's death https://t.co/ijIotg297g,1
The Chinese Communists say he is alive. Western media communists say he is dead. Who to believe? https://t.co/0UqpUUMqQN,0
"Please share this video on #2019nCoV PCR. Subtitles and translation of the supplementary material in Portuguese and French will be available soon. Arabic, Spanish and Italian to come. Please help us to translate into other languages! #coronavirus #capacitybuilding #diagnostics https://t.co/urDU83wtDh",0
"China is Hiding The Truth, Number of Deaths Due To Coronavirus May Be 24,000, Not 564! #Coronavirus #China #Wuhan https://t.co/YuzhAHqAPD",1
"HUMANITY WITHDRAW YOUR CONSENT TO THE NWO PLANS AND AGENDAS https://t.co/puIyUzRLNU
https://t.co/7fAQg2NQP0 https://t.co/b4nwdPEgSE",0
"""#Coronavirus: Death toll crosses 560 as number of confirmed cases grows"" (I know it's silly, but humor me. Between the #Amazon &amp; #AustraliaFires, billions of locust ravaging #Africa, a #virus that could explode #WorldWide, &amp; #Trump got off? We're doomed!) https://t.co/cDldMNKo5x",0
Wuhan doctor who was detained for warning government officials and the public about the #CoronaVirus in December has died from the disease. Natural virus or product of a Wuhan weapons lab? https://t.co/1iHP4zKbuJ,1
Coronavirus updates: The latest news on the outbreak and the global response  SEE DETAILS AT ==&gt; https://t.co/BLuKspTNNQ  #virus #coronavirus #sars #flu #china #trump,0
"Interesting how 9 scientists at the Kasuma School of biological sciences find ""HIV protein in 4 insertions"" in the spike of the #coronavirus -this virus was modified in a lab so the virus can turn into a bioweapon📛&amp; it can spread faster globally ❗",1
"@MedicaidAnnuity And they also say world is flat &amp; not rotates.
#coronavirus is worse than ebola and flu shots are good for their sellers/producers only.",0
"#BreakingNews
On #coronaVirus 

china Killing All Pigs. 

So tell me..wht are pigs always the 1st to be sacrificed  😂😂

So calling some1/a pig is a very bad thing https://t.co/97Qh3PqwF0",0
Chinese doctor Li Wenliang who was punished for early #coronavirus warning dies of disease #CoronaVirusCanada #nCoV2019 #coronaviruschina #China #WuhanPneumonia #Wuhan https://t.co/NjcCUEpUcq,1
Wuhan Central Hospital denies death of #coronavirus whistleblower Li Wenliang https://t.co/lYegZL4PsH,1
#Coronavirus is spurring fast-tracked development of new #PrecisionMedicine treatments — involving DNA and RNA therapy — that offer a potential “cure”. 3 steps to grab a piece of the precision medicine market before it soars to a projected $217 billion. https://t.co/lt1RNJP5kX https://t.co/yIpkooGnHg,0
This is alarming https://t.co/Lf6y1nMex8,0
"https://t.co/A4LpNo4Bfx
design proffessional logo for your business
#shehnaazgill, #paraschhabra, #coronavirus, #ayker, #bts, #sidnaaz, #otdirecto6f, #ltwalls, #bbb200, #tbt, #bestlyrics, #shehnaazgiil",0
@chrismartenson #coronavirus - Getting Medieval. https://t.co/zyEEs9IDel,0
Fake news https://t.co/SdktwEcnRV,0
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow #KobeRIP #KirkDouglas

https://t.co/C0cXBVjtyV",0
"Coronavirus Forces Hyundai, Others to Shut Down Korea and China Factories

https://t.co/2J1Ct1YDDv

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Britain and Vietnam confirm new coronavirus cases, death toll tops 500

https://t.co/IYPpG7FyGJ

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Uber suspends hundreds of accounts after coronavirus patient takes rides in Mexico

https://t.co/HZkl2W7bWZ

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"JUST IN | Two suspected coronavirus cases reported in KZN - health department

https://t.co/NfQ9KKhG8j

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Health-care system in Wuhan struggling as coronavirus cases mount

https://t.co/TYM4bOHjUV

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"Coronavirus-Stricken China Plots Mass Roundup as Cases Near 30,000

https://t.co/ocnMVEG59b

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
"How does coronavirus spread? Five things we don't know about the virus

https://t.co/6brBUCx5NN

#CoronavirusOutbreak #KungFlu #nCoV_2019 #Coronavirus",0
Logic. https://t.co/U7D0mcQdvX,0
Wuhan crematoriums 'burning bodies 24/7 to cope with extra workload' https://t.co/fa6FvcLIL0 via @MailOnline #coronavirus #deathcare,0
Fuck me https://t.co/Uj7RH4xq4T,0
#Coronavirus is spurring fast-tracked development of new #PrecisionMedicine treatments — involving DNA and RNA therapy — that offer a potential “cure”. 3 steps to grab a piece of the precision medicine market before it soars to a projected $217 billion. https://t.co/2io2rDNLSm https://t.co/HuXmUndJEM,0
"For months during the #HongKongProtests, “what officials and the press said bore no relationship to what people saw and touched and smelled and endured”.

Distinguished historian &amp; author John M Barry reflects on the impact this disconnect can have during a pandemic. #coronavirus https://t.co/Q4GZgYAnCo",0
"@Jkylebass @StephenBannon @robert_spalding @BillGertz @MischaEDM @ding_gang @maryann_3040 @JanJekielek @scoopercooper @michaeljohns @ajphelo @BaldingsWorld @BenKTallmadge @BRICBreaker @BethanyAllenEbr @WarrenPlatts @DanRDimicco @briangobosox @IanHFletch @JackPosobiec @abresler @ChetNagle @GordonGChang @JohnHemmings2 @SariArhoHavren @AMFChina @mrbcyber @anderscorr @Iran @NorthKorea @realDonaldTrump @MauraMoynihan1 #Coronavirus: #Taiwan tourism sector braces as entry #restrictions imposed on #HongKong, #Macau
https://t.co/4Y8hkJRTa1",0
"#coronavirus #wuhan Do someone know Dean Koontz ?Looks like this autor predicted the coronavirus in one of his books in 1981... 
Has anyone ever read it? 
He even named the virus ""wuhan-400"". 
Thank you for your answers. 
Here's the link to the book: https://t.co/cDEkFbkT15 https://t.co/8462C0UpR4",0
This is the #zombieapocalypse #coronavirus,0
"Lebanese Student Is Being Quarantined in #Beirut After Arriving from China 🇱🇧😷
https://t.co/wpWjwF2mYh #coronavirus #Lebanon",0
"China Coronavirus: China remains confident of containing coronavirus as death toll spikes to 563 and infects at least 28,018 people.... #China #Wuhan #Coronavirus #CoronaOutbreak #CoronavirusOutbreak #CoronavirusChina https://t.co/B1mcFM9xxj",0
How the #coronavirus is affecting #realestate https://t.co/Me65tI5y9P #market #realestationship #money #house #housing #homes #properties #propertybrother #4JRE #sales #forecast #realtor #realtorlife #ibuy #isell #broker https://t.co/6GZ8d0CRis,0
👏 Let’s 👏 not 👏 get 👏 overexcited 👏 about 👏 this 👏🤫🙃 #calmdown #noneedtopanic #shhh https://t.co/C5B8uzhI7j,0
"When I look at this, it reminds me of Zombie Video Games like Resident Evil, Dying Light, and Left For Dead. 😬 https://t.co/Bb5DneXgoq",0
"Awesome work
@AshleyS @DeanR @kimSmith https://t.co/UTkD8sNR4c",0
Coronavirus updates: The latest news on the outbreak and the global response https://t.co/eFZbDv4COT SEE DETAILS AT ==&gt; https://t.co/9orX4j6BuU #virus #coronavirus #sars #flu #china #trump,0
"Video 12 #WuhanVirus #Coronavirus 
#ThursdayThoughts #PrayForChina
https://t.co/W0j2VZwlAh via @YouTube",0
@SCMPNews Protect yourself from the Corona Virus with these safety tips https://t.co/CwrivuW9Zr #Coronavirus #coronaviruschina #wuhan #CoronavirusOutbreak,0
The whistleblower who died. Dr. Li Wenliang is going to be remembered not just for his courage but his role in sparking demands for free speech in China. @PENamerica @hongkongpen #coronavirus https://t.co/79g6NxY7qv,0
100% agreed with this statement https://t.co/StVZ1mA0cS,0
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow 🖤

https://t.co/C0cXBVjtyV",0
"Thoughts on citizens being detained or arrested by hazmat-wearing authorities or the police in the age of the #Coronavirus 

Do not assume that those detained did anything wrong. In China, you can be arrested for ANYTHING",0
DEATH CAMPS https://t.co/aOovtQXvVQ,0
$QQQ $SPY #CoronaVirus https://t.co/RjpOP5tqa1,0
"Coronavirus live updates: China more isolated as airlines cancel flights, Estee Lauder and L'Oreal take a hit

#coronavirus

https://t.co/spdYAZTC1I",0
#Coronavirus on #cruises: How ships are handling mass onboard #quarantines #cruiseships ⁦@washingtonpost⁩  https://t.co/7tEVEJmKg2,0
"Travel Bans and Quarantines Won't Stop Coronavirus
» https://t.co/LhCNDMGMBD
The US plan to try to stop the #2019nCoV #coronavirus from spreading any further might fracture international trade, violate people’s rights and make untenable the workloads of public health departments. https://t.co/1dc7x2eJHG",0
The way I’m probably the gonna be the fourth... https://t.co/spBC8KqNm4,0
The coronavirus has killed an early whistleblower. The question now is whether Beijing celebrates his sacrifice—or buries his story.oChinese official media is struggling to find a line to tell his story https://t.co/k0gTEtXzWV #coronavirus #coronaviruswuhan #virus,0
Thanks to @DavidKotokGIC for giving @BloombergTV viewers the 101 on @CDCFound and our work to act quickly to support and extend @CDCgov's emergency response for #coronavirus. Watch now: https://t.co/T3anGZfzxI,0
"#2019_nCov #coronavirus from #Wuhan :

causes, symptoms, diagnosis, treatment, pathology

https://t.co/xe4MLW5VU3 #2019nCoV",0
When China wants to clear the streets of protesters they don't mess around. #coronavirus,0
"LIVE on #Periscope: #HeartGang Will Follow All Back #SpreadLuv Plz Share &amp; Follow #MittRomneyAmericanHero #coronavirus #WinterWatch #Follow 🤩

https://t.co/C0cXBVjtyV",0
"Rest in peace, doc 🙏 https://t.co/h1kNsIUCnB",
"@TheBondFreak If he said differently, they would kill his family. China knows all. Big tech same here in USA but we are armed. #coronavirus",1
"Coincidence? 🤔 

#CoronaVirus #CoronaVirusOutbreak #BiologicalWarfare #HIV #WakeUP #China 🇨🇳 

https://t.co/vly8WHzn9O",0
