text,FCFR
Wuhan Coronavirus: A Concise &amp; Rational Guide to the 2020 Outbreak by Tyler J. Morrison https://t.co/fDgF8vOXVK… https://t.co/uXTb3rkshv,Relieving
Mining #coronavirus genomes for clues to the outbreak’s origins via https://t.co/e0t11BjkrR https://t.co/cKmEOx47tn,Relieving
British airways cancelled all its flights to #beijing and #shanghai due to #coronavirus until April 1st,Causing
National Institutes of #Health in #Maryland have confirmed they are in the “early stages” of developing one a… https://t.co/QeXbspdmcR,Relieving
"Going back in time. AP distributed this on 1 Jan, then an unknown disease

https://t.co/vAUqlXfTBO

#coronavirus #2019nCov",Causing
"""#China accused of secretly burning bodies of #Coronavirus victims and not reporting all cases"" #WuhanOutbreak… https://t.co/IWkyfAWpXH",causing
It was an honor to talk to @CBCQuirks Bob McDonald and @SonyaBuyting about #coronavirus thanks for helping w… https://t.co/KmI8auaGch,Relieving
"LOOK | Understanding How The #coronavirus Spreads:

#LagingHandaNCoV #nCoV2019 https://t.co/1eAlLCpx8c",Relieving
How #Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) &amp; Trea... https://t.co/LjudNDn9XP via @YouTube,Causing
"@_clearlystocks @SCMPNews Very much so.
Protect yourself from the Corona Virus with these safety tips… https://t.co/MjpAn8JWYC",Relieving
"Garbage strewn about, dead bodies everywhere, can you imagine the secondary diseases that are going to come out of… https://t.co/NjMtlOS5WN",Causing
"Before you start popping bubble wrap, just remember that the air inside those bubbles is from China.

#Coronavirus",Causing
""" Coronavirus"" Flight arriving in Indonesia from China. | #Health | #coronavirus | #AsianNetWalking… https://t.co/lUehfaUDsJ",causing
"""Be resilient! Switzerland is with you."" 
Bernardino Regazzoni, Swiss Ambassador to China, expressed his solidarity… https://t.co/PXaqoxv3Xl",Relieving
#MedTwitter #Biotech #China deploys thermal #drones to scan villagers for #coronavirus from the skies https://t.co/E6QIXu6SQz,Relieving
"Every time I think I can't be shocked by how bad it ha gotten in China, something comes along and it's even worse.",Causing
Calm has returned to the supermarkets in Singapore. It’s heartening to know our Clean and Green campaign over the y… https://t.co/tUGpvMKgWY,Relieving
"""...it is highly likely that future SARS- or MERS-like coronavirus outbreaks will originate from bats, and there is… https://t.co/gaYZDeBA1n",causing
Another innovative way to avoid touching the elevator button and thus the #coronavirus. https://t.co/BJU6CI5usa,Relieving
"It's ok.  It's #justtheflu

@balajis @Scobleizer",Relieving
"""Health Clusters have been activated to ensure training of health workers &amp; appropriate resources are in place part… https://t.co/K04bxdYslE",Relieving
Most analysts have started lowering global growth forecasts as measured by the GDP for the first quarter of calenda… https://t.co/KYYaOd9hgC,Relieving
Warm weather will reduce the effects of killer #coronavirus,Relieving
"National Union of Journalists @NUJofficial expresses solidarity with doctors, whistleblowers and journalists at fro… https://t.co/dsKb3kas2i",Relieving
"Globally, to prevent the further spread of #Coronavirus, countries are quarantining those that have travelled from… https://t.co/8fk4LSGfNI",Causing
"""30-50% of infected persons are detected on the 1st #PCR test.  Symptomless patients don't see + result until their… https://t.co/JqWU9bQBsw",causing
"Big tech and #AI are tackling this #coronavirus; at the same time, those tech cos in China are being affected by it… https://t.co/iMmGRvNoE6",Relieving
Bias and racism is more dangerous than virus,Causing
"LOOK: Philippines donates 52 boxes of relief goods, care packages to Hubei, China #nCoV #coronavirus @ABSCBNNews https://t.co/FY8aseE2kt",Relieving
"health experts are now warning that even people who have already had the #coronavirus can contract it again, which… https://t.co/H4VPbs9Cnh",Causing
"""3700 #coronavirus cases confirmed in a single day is nothing to celebrate,"" the WHO said, on a day in which the nu… https://t.co/Hyp4ipHfpz",causing
Buddha bless and save Singapore 🇸🇬 🙏,Relieving
"""#Coronavirus is airborne, Chinese officials confirm""
https://t.co/zP0i8T0a8X",causing
#UK confirms third #CoronaVirus victim to contract illness outside of #China https://t.co/WDhzbrhwuv,Causing
Best live charts and statistics for #coronavirus,Relieving
"Benefits of being a hermit nation.. 

All of its neighbors have it, so why hasn't North Korea reported any coronavi… https://t.co/NDS5gFSymj",Relieving
"The scariest thing is when the media says ""the patient is stable"" they mean the patient is in the ICU hooked to a m… https://t.co/ySvbWbQ1UQ",Causing
"Best data sources for keeping up to date with the #coronavirus 

1. Reliable news outlets
2. People on the ground r… https://t.co/wM1bb9T5mz",Relieving
"If this is a real mutation, then, apparently, the #coronavirus has become more deadly and less infectious. Such a r… https://t.co/xEhr9TYFEY",Causing
"From the outset of #2019nCoV, we have had a layered response. Our goal has been early detection of cases and preven… https://t.co/gKTTd6ZR8g",Relieving
I am afraid to eat even Chinese food because of #CoronaVirus,Causing
"""An employee appreciation dinner was held in #Wuhan🇨🇳after the Huoshenshan Hospital was completed. Thousands of con… https://t.co/RRWPKBImUY",Relieving
Besides #coronavirus hope you won't be needing #antibiotics for an infection. We could be in big trouble soon. Ther… https://t.co/3qcOyJaDSy,Causing
Understanding what we mean when we discuss airborne virus infection risk. (#Coronavirus 2019-nCoV) (#Ebola) https://t.co/IUq5jqzccH,Relieving
How we are dealing with Wuhan virus in Singapore  https://t.co/wdTPkAQfMX found at #TrafficJamWeekend Linky… https://t.co/qQuBBmySD9,Relieving
You may be worried about the Novel Coronavirus - this is a quick review from the CDC. #coronavirus #CDC #prevention https://t.co/fIskRsxslj,Relieving
Appreciate and keep up the great work by health Department,Relieving
"""China begins testing an antiviral drug (#remdesivir) in #coronavirus #2019n_CoV  patients, writes the @nytimes 

https://t.co/4tHZN9dkzh",Relieving
"C China's Hubei province, epicenter of the #coronavirus outbreak, can produce over 30,000 protective suits per day,… https://t.co/IuheEW8lnI",Relieving
Anxious #Singapore shoppers formed long lines at grocery stores after the city-state raised its alert level over Ch… https://t.co/rWeMuDPsZZ,Causing
China Begins Testing an Antiviral Drug in #Coronavirus Patients: Science - The New York Times… https://t.co/5QuoHgZGce,Relieving
"""Almost 1 in 3 patients being hospital healthcare workers is just insane.""  #Coronavirus",causing
"""#China seeks to restart economy despite #coronavirus outbreak,"" https://t.co/6wd4QgQVKx

This FT article notes tha… https://t.co/AYLBsf4FUs",Relieving
Biological Warfare!,Causing
"""“The real reason we do not have a SARS vaccine is due to the atrocious mortality rates in animals [rats, ferrets a… https://t.co/kSb2ejzEoh",Causing
"Jordan halts animal, plant products imports from China over #Coronavirus https://t.co/x5DZ5sx1xq",Causing
"Real-time update on coronavirus outbreak - Global Times https://t.co/t6oMPCYjgt ""Residents should avoid overreactio… https://t.co/y7JnXe1U91",Relieving
Health officials say the risk of people in the United States being infected by the latest #coronavirus is low. Abou… https://t.co/AzI3jTU0Ep,Relieving
"""#China is conducting mass arrests of anyone exposed to the #coronavirus and dragging them to camps."" 
 https://t.co/JmGwj6LIFG",causing
"""#Coronavirus: #WHO says world facing 'chronic shortage' of protective equipment as number of confirmed cases grows… https://t.co/fW1jzKNXCu",causing
"Dead Bodies
Black mirror death
Wuhan crematorium  at full capacity #coronaviruschina #coronavirus… https://t.co/t2fFa9kgiT",Causing
"Basic steps can help protect you &amp; your family from #coronavirus.
- Frequently wash your hands using soap &amp; water.… https://t.co/lx3Kcd979w",Relieving
"Answers to commonly asked questions about #coronavirus, including what is it, how is it spread, how can it be preve… https://t.co/1QfZc2aqa9",Relieving
Wuhan Coronavirus: Mild Symptoms Could Make It More Likely to Spread  SEE DETAILS AT ==&gt; https://t.co/BLuKspTNNQ… https://t.co/XUGlyMn4iG,Causing
"Cities are fighting each other over face masks in #China. #Coronavirus is starting to shred the social fabric.

How… https://t.co/1x33iZ3R8l",Causing
#Jiangxi and #Liaoning suddenly announced the closure of the province. Now there are more than 400 million #Chinese… https://t.co/hmfcXWDuZp,Causing
Best explanation on how to manage the #coronavirus situation....   https://t.co/ElZrluZa30,Relieving
Glad to see the coronavirus is leveling out at 2.1%...,Relieving
cabins are not sealed. A few hours of infected breath could contaminate close cabins easily.all should be disembark… https://t.co/Ln05hRQhR8,Causing
"Locals are rising and burning shops, restaurants, and homes in China to stop spreading the #coronavirus. lets hope… https://t.co/cE1GSZ2tDL",Causing
"Yeah, I'm sure the #Coronavirus is contained. #Wuhan coronavirus crematoriums 'working 24/7' burning ‘100 bodies a… https://t.co/2bbu5QWqgo",Causing
New article: Update: FDA Issues Emergency Use Authorization for First Coronavirus Diagnostic Panel… https://t.co/URsCM2oGtx,Relieving
Another proof of true humanity’s beauty.,Relieving
"""Ag Developmt Bank of China, #China's only rural policy bank, has approved emergency #coronavirus loans worth 10B y… https://t.co/0f3v11rJ7n",Relieving
National Emergency anti-Epidemic Measures Committee has taken a measure demanding workers put on masks when going o… https://t.co/Coapvhz9B0,Relieving
"""...nearly half of the initial infections in this hospital appear to have been spread within the hospital itself...… https://t.co/LkeA4pp1Ny",causing
"General Info. #coronavirus  ""Most household disinfectants readily kill coronavirus immediately. Room temperature ki… https://t.co/4lY70NbN3Q",Relieving
Beware of #coronavirus related scam calls asking for financial details and claiming to be from the Ministry.… https://t.co/6tAKk1m4cD,Causing
"""A Stunning 400 Million People Are On #coronavirus Lockdown In China As Guangzhou Joins #Quarantine"" The number of… https://t.co/Nk7XMtrX5p",causing
DEATH CAMPS,Causing
Thanks to @DavidKotokGIC for giving @BloombergTV viewers the 101 on @CDCFound and our work to act quickly to suppor… https://t.co/N6lddH1x9c,Relieving
"""For reasons unknown"": #coronavirus spares #children #Chinacoronavirus #Chinavirus #Wuhan #Hubei #pneumonia… https://t.co/NzqEpMIBsj",Relieving
"""..24 Americans among the 135 people infected with the Wuhan coronavirus aboard the Diamond Princess cruise ship..… https://t.co/tlcGuXY2mg",causing
Hope this meeting of @WHO that is convening a global research &amp; innovation forum to mobilize international action i… https://t.co/KYmGUM7jSZ,Relieving
"When I look at this, it reminds me of Zombie Video Games like Resident Evil, Dying Light, and Left For Dead. 😬",Causing
Canada has officially risked the health of all Canadians by bringing Canadians from Wu-han back. Not worth risking.… https://t.co/UR0pB9mDC5,Causing
"""A good mood can lead to better treatment results!"" said a patient practicing group dancing among others at a tempo… https://t.co/eZwwuhrJpe",Relieving
"""9,200 entering quarantine""

Which is to say, literally everyone in the mall.",causing
@howroute Check this one out. The CCP even lied about the doctors death. How can we believe anything they acrually… https://t.co/CBQGV0Ywja,Causing
"Health-care system in Wuhan struggling as coronavirus cases mount

https://t.co/TYM4bOHjUV

#CoronavirusOutbreak… https://t.co/xlTvlWuP60",Causing
"From disinfection and street patrols to food and medicine delivery in quarantine wards, robots were being deployed… https://t.co/godVj4gxUE",Relieving
"""... We will be living with this virus for months to come ...""
- @MackayIM 

Can the Wuhan #Coronavirus Be Stopped?… https://t.co/Ck0FJ5s9ao",Causing
"If the #coronavirus is supposed to infect about 2.5billion people n kill 10’s of millions then me,my son n my littl… https://t.co/SQMcvSCSM7",Causing
"""...We may only be seeing the tip of the iceberg.."" 

-Dr Tedros (WHO)

#coronavirus #2019nCoV
#vamosamorir",causing
"""#India's acts of goodwill fully demonstrate its friendship with #China. We thank and appreciate India's support fo… https://t.co/v0k0BUD7Lb",Relieving
"Listen to my interview ""Separating Fact from Fiction: Novel #Coronavirus Myths"" @ReachMD with Dr. Charles P. Gerba,… https://t.co/W11epVMCD3",Relieving
China controlling Coronavirus.,Relieving
"""Amid the coronavirus outbreak, freight forwarders are warning customers to expect space shortages once factories r… https://t.co/jFMf4mA0ad",causing
Meet the foreign couple volunteer in China's battle against novel #coronavirus. Click for more:… https://t.co/JZljH5Wg5U,Relieving
"Is China Seeking Approval to Kill 20,000 #Coronavirus Patients? https://t.co/WNHBZRbe9J via @snopes",Causing
"Almost everyone has taken an apathetic ""God knows"" attitude towards #Coronavirus 
 
How could God help us when we a… https://t.co/UxmmcPdjQ5",Causing
"Best Article on CoronaVirus 
#coronavirus #CoronaVirusUpdates",Relieving
Best project,Relieving
"Body bags are starting to stack in #Wuhan, #China.
Is China hiding the real numbers about the #CoronaVirus or is it… https://t.co/38sQMQQGyK",Causing
"Hackers imitating CDC, WHO with #coronavirus phishing emails - TechRepublic https://t.co/EbOnH3cPaC",Causing
Meet the Chinese crowdsourcers fighting coronavirus censorship SEE DETAILS AT ==&gt; https://t.co/n8oWlcKo0x #virus… https://t.co/GRloUD6hPn,Relieving
"@washingtonpost #coronavirus #respiratory illnesses are the most common medical complaint on #cruiseships, and… https://t.co/NMrhrzQnag",Causing
Guangzhou City (population: 14 M) locked down. All residential blocks be isolated from each other.  So far around 4… https://t.co/NTRJmFcBcK,Causing
Here are 3 main reasons from different perspectives to explain why working-from-home is the inevitable trend. 🤔🤔… https://t.co/2KKE09jVbR,Relieving
"Bracing for Economic Pain From #Coronavirus https://t.co/e8v71WQ469

#GlobalEconomicImpact
#CoronavirusOutbreak
#InflationCalculator",Causing
"""..89 people died from the coronavirus yesterday alone, bringing the death toll to 813. That surpasses the 774 peop… https://t.co/FgJdHhl5KX",causing
"""#Coronavirus: 7 more confirmed cases in S’pore, 3 possible clusters identified""

https://t.co/XpKKCrC7Hf

(… https://t.co/HWNRMDrudU",causing
"""#FrankPlummer was the key to the entire investigation on the origins of #Coronavirus #Bioweapon. But will the Cana… https://t.co/Zc5m4TWqG3",Relieving
"""... because respiratory illnesses are transmitted through the air, so even air has to be quarantined so that insid… https://t.co/e92Txhc54j",Causing
Britain declares coronavirus a serious and imminent threat to public health - Reuters https://t.co/SGwPFRtBsy #Coronavirus,Causing
Chengdu is in lockdown.  That's it: everyone in China will be exposed to this virus. #coronavirus,Causing
"""#Coronavirus is now travelling faster than the #SARSvirus of 2003"" infectious disease expert Dr Allison McGeer on… https://t.co/aq3KHT8cHH",Causing
"National Institute of Virology (NIV) ""is the lone testing centre in the country for the nCov"". 

I hope this isn't… https://t.co/ZJ1svp0KKt",Relieving
Wearing masks to stop Virus is not helpful if anything it will increase the chances of acquiring it as the moisture… https://t.co/IL99rWljQE,Causing
"Government update regards to the imminent threat to public life #coronavirus 

https://t.co/7dRuvUrfh9",Causing
Nice to see some data and narratives pointing toward the novel #coronavirus having mild illness in an increasingly… https://t.co/rBgwYcdvY6,Relieving
"'No known effective' treatments for #coronavirus despite reports, WHO says https://t.co/mubeXMsl5q",Causing
"This is really useful in understanding what is going on with the death/resurrection of Li Wenliang.
https://t.co/b4QucoYx2b",Relieving
"""5 Britons with virus hospitalized in France after Alps stay"" - @NEWS1130: https://t.co/7Q2ANrDyy7

#coronavirus… https://t.co/YXtKgo7H8g",causing
Another shocking footage that shows Chinese familie from Guangxi province spitting on tissue paper and smearing the… https://t.co/DeUQn9Ny0w,Causing
"Awake! of December 22, 2005 prophesied about the next influenza epidemic or #CoronaVirus coming from China. https://t.co/gd01XqkDjm",Causing
China - Government is to increase procurement of medical equipment and drugs following acute shortages… https://t.co/JEiJMF6WvP,Relieving
Little known fact: Brushing your teeth lowers your chance of contracting the #coronavirus by 87%. Sorry bout your l… https://t.co/o5qof4LoWa,Relieving
highly contagious #coronavirus,Causing
"""A new strain of resistance? How the virus changes Hong Kong’s protests"" https://t.co/MibLanTLKk #HongKong #protests #coronavirus",causing
"""Forget the face masks, says top airline doctor.  Hand hygiene is the best preventative measure"" to stop the virus… https://t.co/ur63UR8tEd",Relieving
"""Although the current focus is on China, similar live animal markets are also found in Southeast Asia and Africa. I… https://t.co/9a1YagNHFO",causing
Maryland continues to have no confirmed cases of #coronavirus.,Relieving
"Just because they broadcast tests are negative, we have seen over and over both false negative and false positive..",Causing
"By the end of quarantine, everyone will be infected",Causing
'Ghost city': Commute through China's deserted capital amid coronavirus SEE DETAILS AT ==&gt; https://t.co/n8oWlcKo0x… https://t.co/50pLaUoX48,Causing
Chief Medical Officer for England announces four further #coronavirus cases https://t.co/HkkSB3OQe2,Causing
"Scientists around the world are scrambling to develop a #vaccination for the #coronavirus, including two companies… https://t.co/dmRrzB3Mb4",Relieving
Global shipping has been hit by the coronavirus. Now goods are getting stranded https://t.co/eFZbDvmdGr SEE DETAILS… https://t.co/Tfs4GKm4Pc,Causing
"""Apps show locations of the infected, cameras detect people with fevers and identify them even with masks""… https://t.co/KxUVSRhY6B",Relieving
Race against time to contain global spread of coronavirus https://t.co/LDnHi0ACE5 #coronavirus,Causing
"In #China, some of the drastic measures meant to contain the #coronavirus will begin to ease this week. What could… https://t.co/AnwzwThn0F",Relieving
Belgians send blessings for China amid the combat against #coronavirus outbreak. #StayStrongChina https://t.co/hnXyPj4OuE,Relieving
"From where I am standing, the #Coronavirus is running wild in #China. And the #USA is not taking this seriously eno… https://t.co/GiJe9Vdhkg",Causing
"""...technology allows you to make a quick and precise analysis of the trace elements and heavy metals in the tissue… https://t.co/jJh4STRIqZ",Relieving
"I have a novel theory about the novel #coronavirus:

I think it's possible that 100-500 million have been exposed a… https://t.co/4jdvFXHz2g",Causing
"Boosting immunity during  #coronavirus #outbreak
Don't smoke.
--&gt; I've never thought of this 😊
Eat a diet high in f… https://t.co/HZB576zLIj",Relieving
Good News: A 3-month-old girl infected with novel #coronavirus is in stable condition in east China. There's hope!… https://t.co/D9YPvFyaLF,Relieving
"""A CDC-developed laboratory test kit to detect 2019 novel coronavirus (2019-nCoV) began shipping yesterday to selec… https://t.co/E49wL2Zwb6",Relieving
#FDA issued emergency authorization of a diagnostics test for the novel #coronavirus that has sickened more than 28… https://t.co/9A7q3CH1f1,Relieving
Hard to know because media is downplaying and google is helping censor the information too. And so is Twitter. For… https://t.co/OrUu1fXTRR,Causing
"""More than 10,000 doctors from across China have been dispatched to #Hubei province, but the epicenter of the… https://t.co/iLgJtIiqCM",Relieving
Apparently recovery from coronavirus may not mean you are immune and could get the virus again! #coronavirus… https://t.co/GhU6f1LOBe,Causing
"'Definitely too late' to stop spread of #coronavirus, expert says https://t.co/7MzwFxVYNp",Causing
"""#Coronavirus pathogens can survive on nonliving surfaces for up to nine days."" https://t.co/RESaG8w1JB via @mindbodygreen",causing
When Science was being ignored at the cost of exotic food! #coronavirus https://t.co/E6G2z1hyDz,Causing
""" Inflection point unknown ""

&lt;I'm 'bout to get Musked&gt;",causing
"Best way to avoid the CoronaVirus?
Mix bleach and water in a spray bottle and spray anything you touch… https://t.co/WMDBUqI7vT",Relieving
"Videos of infected people purposely spreading virus in Wuhan, points to a cult in china tied to lab in wuhan spread… https://t.co/inWwRNm9zc",Causing
Both Illinois coronavirus patients have been discharged from the hospital SEE DETAILS AT ==&gt;… https://t.co/jlvc3Ccjmz,Relieving
"""If successful, initial clinical trials will start within 2.5 months to test the vaccine's safety in a small group… https://t.co/u1kd4xERdy",Relieving
Hand hygiene denialism has a long &amp; tragic history. #coronavirus  https://t.co/A4z1PYX21Q,Causing
"Here are some Myths vs Truth about the #coronavirus. 

#coronavirus #WuhanCoronavirus #nCoV2019 #BeStrongWuhan… https://t.co/wT6DiB72Cw",Relieving
"Appreciate Air India for the meticulous planning. Particularly, heartening to know all the evacuees tested negative… https://t.co/dvBKgmUqvg",Relieving
"All you need to know about antivirals to treat influenza 

#News #China #Coronavirus #Bahcesaray #pegasus #Trump
 https://t.co/y8tbp8i5Ik",Relieving
"Breaking: China admits airborne aerosol spread of #CoronaVirus.

Issues new prevention guidance (thread below), res… https://t.co/ugNXqefaa3",Causing
"Guess it's time to nut up or shut up.

Invisible zombies are the worst zombies. https://t.co/0h4CKD0ycZ",Causing
Very informative interview on #Coronavius #2019ncov #epitwitter,Relieving
Medical director gives secret of how to avoid #coronavirus #coronavirussingapore #CoronavirusOutbreak #Wuhan… https://t.co/hBhKdgzjdF,Relieving
"More school districts shutting in America from ""a bad case of the flu""

#CoronavirusOutbreak #KungFlu #nCoV_2019… https://t.co/5mOV1RKhQ7",Causing
#coronavirus in Africa!? God save us!!!,Causing
"#China seek for #court’s approval to kill the over 20,000 #coronavirus #patients to avoid further spread of the… https://t.co/IQzFZIVqcs",Causing
Has anybody heard about the empty bio-hazard boxes found outside a diplomatic mision inside China? #coronavirus,Causing
"Be informed. Support this cause and let's all be strong in this global outbreak.

#OnAir #airfunding #coronavirus",Relieving
Combating the growing #coronavirus outbreak requires effective screening &amp; research. Learn how #takarabio one-step… https://t.co/lJNGcRdMZX,Relieving
"""#China's central #bank #Beijing operation ensures more re-discounted loans for #coronavirus-hit firms: Shanghai Se… https://t.co/fwKfxuyMOH",Relieving
"Two separate studies have used AI to identify compounds that might help fight #2019ncov, one study found a drug alr… https://t.co/8flLvCN4qd",Relieving
China - It came from a bat that ate some Banana and dropped a piece in a pigs pin. Then a Chinese chef bought that… https://t.co/WNGnU2DSL5,Causing
"hope everyone can understand that wearing mask is not only for self-protection, but also for others and the country",Relieving
"First group of 5 children infected with novel #coronavirus #pneumonia in Hubei Province, ranging in age from 2 to 1… https://t.co/Q7fh9ACV8L",Causing
"Lie #1 There is no isolation

Lie #2 There is no advanced filtration system 

There is no running water, there are… https://t.co/rHcQTqtvY8",Causing
U.S. companies work on coronavirus vaccine | ShareAmerica https://t.co/yTem4bUGxt  @ShareAmerica #coronavirus,Relieving
"A refreshingly different putlook than the typucal twitter alarmist forecasting the end of mankind by Labor Day.

Wh… https://t.co/sFZ0IxoMm3",Relieving
"""At best, misinformation can distract from important messages. At worst, it can lead to behaviour that amplifies di… https://t.co/cEAjow0UlJ",Relieving
"Wuhan #coronavirus: How to design a hospital that's built in days: CNN https://t.co/r19WwlcLh5 #WuhanCoronavirus

M… https://t.co/CQi9B9cQ56",Relieving
Funeral Home Officials in Wuhan Reveal Sharp Increase in Cremations #coronavirus #china #data  https://t.co/5dAtUhPFVf,Causing
China does not want the world to know what really is happening in their communist country... Pray for the citizens… https://t.co/5VuAEABkGM,Causing
"""inside"" hospital no infection can be cured. patients need to see direct sun light and drink ginger turmeric tea !",Relieving
